Name,volume,group_games,college_life_and_alumni,sports,art_and_culture,comedy,theater_and_performing_arts,outdoor_recreation,seasonal_and_holidays,educational_events,local_and_neighborhood_pride,classical_music,pop_rock,alternative_rock,electronic_music,hip_hop_and_rnb,jazz_and_blues,country_and_folk,festivals_fairs_and_attractions,movies_and_cinema
basketball,2005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arts,1965,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
singles,1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
library,1875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hockey,1861,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
football,1827,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ncaa,1752,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blues,1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
halloween,1704,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
local,1673,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
technology,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clubs_associations,1666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dance,1639,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
division1-a,1612,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dance,1572,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
syndical,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
college sports,1518,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
travel,1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tournament,1507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
symphony,1472,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
orchestra,1472,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
christmas,1465,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5k,1465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
military,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
live,1399,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
tournaments,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conference,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elite,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
animals,1360,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
running,1339,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
performing_arts_shows,1336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
parks,1333,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
electronic,1322,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
fun,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
off-roadtrail,1312,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
